PIXEL_ID;PIXEL_LAT_CENTER;PIXEL_LON_CENTER
1;49.510014917022289;5.4191010793596979
2;49.50946941509774;5.4883328953029293
3;49.508881958502116;5.5575630827983833
4;49.508252548794182;5.6267915213056252
5;49.554969000111242;5.4199096453134494
6;49.55442298091355;5.4892061267346817
7;49.553834967269722;5.5585009751403751
8;49.553204960741951;5.6277940696521425
9;49.552532963003827;5.6970852894099613
10;49.551818975840469;5.7663745135734326
11;49.551063001148485;5.8356616213230463
12;49.600890661440694;5.2819927599538872
13;49.60042819712173;5.3513569392293512
14;49.599923695736813;5.4207197233898929
15;49.599377158627973;5.4900809911848203
16;49.598788587248976;5.5594406213793519
17;49.598157983165315;5.6287984927558812
18;49.597485348054278;5.6981544841152534
19;49.596770683704882;5.7675084742780296
20;49.596013992017781;5.8368603420857612
21;49.595215275005366;5.906209966402252
22;49.645846859954538;5.2826745267374502
23;49.645383956840597;5.3521036218038995
24;49.644878976781492;5.4215313178346012
25;49.64433192112206;5.4909574932382199
26;49.643742791319283;5.5603820264394042
27;49.643111588942062;5.6298047958800641
28;49.642438315671313;5.6992256800206391
29;49.641722973299892;5.7686445573413838
30;49.640965563732671;5.8380613063436364
31;49.640166088986362;5.9074758055510976
32;49.691603947328559;5.1443655849173524
33;49.691224842219221;5.2138621574660231
34;49.690803617877279;5.283357570952961
35;49.690340275426045;5.3528517034166478
36;49.689834816101062;5.422344432909056
37;49.689287241250156;5.491835637496929
38;49.688697552333423;5.5613251952630733
39;49.688065750923229;5.6308129843076316
40;49.68739183870413;5.7002988827493697
41;49.686675817472874;5.7697827687269552
42;49.685917689138442;5.8392645204002429
43;49.685117455721979;5.9087440159515516
44;49.736899302107389;5.0753568022164508
45;49.736561997309636;5.144919580989642
46;49.736182532283031;5.2144813197545226
47;49.735760908040767;5.2840418961939717
48;49.735297125708563;5.3536011880031378
49;49.734791186524674;5.4231590728907184
50;49.734243091839907;5.492715428580258
51;49.73365284311749;5.5622701328114328
52;49.733020441933206;5.6318230633413382
53;49.732345889975299;5.7013740979457816
54;49.731629189044426;5.7709231144205688
55;49.730870341053695;5.8404699905827853
56;49.730069348028685;5.9100146042720914
57;49.782617843738485;4.8669573052581203
58;49.782406824367619;4.9365877682403099
59;49.782153602363749;5.006217556329287
60;49.781858178403851;5.0758465468340601
61;49.781520553277751;5.1454746170720718
62;49.781140727887994;5.2151016443704954
63;49.780718703250002;5.2847275060675258
64;49.78025448049199;5.3543520795136867
65;49.779748060854857;5.4239752420731122
66;49.779199445692321;5.493596871124856
